BT1	58.42	57.15	90.00	BATTERY_COIN12MM	LINX_BAT-HLD-012-SMT
R44	30.23	61.34	270.00	330	R0402
R45	8.64	67.18	90.00	10k	R0402
R46	9.91	51.56	0.00	10k	R0402
R47	48.90	31.62	90.00	10k	R0402
R48	12.83	35.31	90.00	330R	R0603
R49	9.65	38.10	180.00	10k	R0603
R5	49.91	18.92	180.00	180k	R0603
R50	56.13	30.23	270.00	10k	R0603
R51	31.12	25.65	90.00		R0402
R52	8.64	71.37	270.00	10k	R0402
R53	41.15	50.04	0.00	220R	R0402
R54	26.67	93.98	270.00		R0402
R55	15.49	16.26	180.00	1M	R0402
R56	15.49	17.40	180.00	1M	R0402
R57	13.97	46.74	180.00	100k	R0402
R58	24.26	47.50	90.00	100k	R0402
R59	39.88	25.27	0.00	1M	R0402
R6	33.40	38.48	90.00	820k	R0603
R60	41.15	48.01	0.00	220R	R0402
R61	44.20	47.88	270.00	100k	R0402
R62	27.94	89.54	180.00	330k	R0603
R63	13.72	10.54	270.00	100k	R0402
R64	41.15	45.97	0.00	220R	R0402
R65	4.57	60.83	0.00	180k	R0402
R66	62.87	48.01	0.00	180k	R0402
R67	34.16	31.62	0.00	10k	R0402
R68	23.88	53.21	180.00	1M	R0402
R69	18.67	2.16	270.00	100k	R0603
R7	31.37	38.48	270.00	180k	R0603
R70	14.61	2.16	270.00	200k	R0603
R71	16.64	2.16	90.00	1M	R0603
R72	43.43	13.08	180.00		R0805
R73	59.18	9.27	90.00		R0805
R74	31.62	3.94	270.00		R0805
R75	24.13	15.24	0.00		R0805
R76	38.99	50.29	90.00	220R	R0402
R77	37.85	50.29	90.00	220R	R0402
R78	35.81	45.97	180.00	220R	R0402
R79	35.81	48.01	180.00	220R	R0402
R8	29.72	28.19	0.00	180k	R0603
R80	35.81	50.04	180.00	220R	R0402
R81	32.00	85.60	0.00	5.6k	R0402
R82	32.00	84.45	0.00	5.6k	R0402
R83	32.00	83.31	0.00	5.6k	R0402
R84	11.81	3.18	270.00		R0402
R85	0.89	3.18	270.00		R0402
R86	26.92	113.79	0.00		R0402
R87	26.92	120.52	0.00		R0402
R9	51.31	9.91	180.00	330	R0402
RTC1	59.69	71.12	0.00	DS3231M	SO08
